driver,team,status,grid,finish_pos,year,round,circuit,dnf_type,is_dnf,is_engine_dnf
LEC,Ferrari,Finished,1.0,1,2022,1,Sakhir,finished,0,0
SAI,Ferrari,Finished,3.0,2,2022,1,Sakhir,finished,0,0
HAM,Mercedes,Finished,5.0,3,2022,1,Sakhir,finished,0,0
RUS,Mercedes,Finished,9.0,4,2022,1,Sakhir,finished,0,0
MAG,Haas F1 Team,Finished,7.0,5,2022,1,Sakhir,finished,0,0
BOT,Alfa Romeo,Finished,6.0,6,2022,1,Sakhir,finished,0,0
OCO,Alpine,Finished,11.0,7,2022,1,Sakhir,finished,0,0
TSU,AlphaTauri,Finished,16.0,8,2022,1,Sakhir,finished,0,0
ALO,Alpine,Finished,8.0,9,2022,1,Sakhir,finished,0,0
ZHO,Alfa Romeo,Finished,15.0,10,2022,1,Sakhir,finished,0,0
MSC,Haas F1 Team,Finished,12.0,11,2022,1,Sakhir,finished,0,0
STR,Aston Martin,Finished,19.0,12,2022,1,Sakhir,finished,0,0
ALB,Williams,Finished,14.0,13,2022,1,Sakhir,finished,0,0
RIC,McLaren,Finished,18.0,14,2022,1,Sakhir,finished,0,0
NOR,McLaren,Finished,13.0,15,2022,1,Sakhir,finished,0,0
LAT,Williams,Finished,20.0,16,2022,1,Sakhir,finished,0,0
HUL,Aston Martin,Finished,17.0,17,2022,1,Sakhir,finished,0,0
PER,Red Bull Racing,Fuel pressure,4.0,18,2022,1,Sakhir,other_dnf,1,0
VER,Red Bull Racing,Fuel pressure,2.0,19,2022,1,Sakhir,other_dnf,1,0
GAS,AlphaTauri,Power Unit,10.0,R,2022,1,Sakhir,engine_dnf,1,1
VER,Red Bull Racing,Finished,4.0,1,2022,2,Jeddah,finished,0,0
LEC,Ferrari,Finished,2.0,2,2022,2,Jeddah,finished,0,0
SAI,Ferrari,Finished,3.0,3,2022,2,Jeddah,finished,0,0
PER,Red Bull Racing,Finished,1.0,4,2022,2,Jeddah,finished,0,0
RUS,Mercedes,Finished,6.0,5,2022,2,Jeddah,finished,0,0
OCO,Alpine,Finished,5.0,6,2022,2,Jeddah,finished,0,0
NOR,McLaren,Finished,11.0,7,2022,2,Jeddah,finished,0,0
GAS,AlphaTauri,Finished,9.0,8,2022,2,Jeddah,finished,0,0
MAG,Haas F1 Team,Finished,10.0,9,2022,2,Jeddah,finished,0,0
HAM,Mercedes,Finished,15.0,10,2022,2,Jeddah,finished,0,0
ZHO,Alfa Romeo,Finished,12.0,11,2022,2,Jeddah,finished,0,0
HUL,Aston Martin,Finished,17.0,12,2022,2,Jeddah,finished,0,0
STR,Aston Martin,+1 Lap,13.0,13,2022,2,Jeddah,finished,0,0
ALB,Williams,Collision damage,16.0,14,2022,2,Jeddah,mechanical_dnf,1,0
BOT,Alfa Romeo,Cooling system,8.0,R,2022,2,Jeddah,other_dnf,1,0
ALO,Alpine,Water pump,7.0,R,2022,2,Jeddah,other_dnf,1,0
RIC,McLaren,Gearbox,14.0,R,2022,2,Jeddah,engine_dnf,1,1
LAT,Williams,Accident,18.0,R,2022,2,Jeddah,mechanical_dnf,1,0
TSU,AlphaTauri,Power Unit,19.0,R,2022,2,Jeddah,engine_dnf,1,1
MSC,Haas F1 Team,Withdrew,,W,2022,2,Jeddah,other_dnf,1,0
LEC,Ferrari,Finished,1.0,1,2022,3,Melbourne,finished,0,0
PER,Red Bull Racing,Finished,3.0,2,2022,3,Melbourne,finished,0,0
RUS,Mercedes,Finished,6.0,3,2022,3,Melbourne,finished,0,0
HAM,Mercedes,Finished,5.0,4,2022,3,Melbourne,finished,0,0
NOR,McLaren,Finished,4.0,5,2022,3,Melbourne,finished,0,0
RIC,McLaren,Finished,7.0,6,2022,3,Melbourne,finished,0,0
OCO,Alpine,Finished,8.0,7,2022,3,Melbourne,finished,0,0
BOT,Alfa Romeo,Finished,12.0,8,2022,3,Melbourne,finished,0,0
GAS,AlphaTauri,Finished,11.0,9,2022,3,Melbourne,finished,0,0
ALB,Williams,Finished,20.0,10,2022,3,Melbourne,finished,0,0
ZHO,Alfa Romeo,Finished,14.0,11,2022,3,Melbourne,finished,0,0
STR,Aston Martin,Finished,19.0,12,2022,3,Melbourne,finished,0,0
MSC,Haas F1 Team,+1 Lap,15.0,13,2022,3,Melbourne,finished,0,0
MAG,Haas F1 Team,+1 Lap,16.0,14,2022,3,Melbourne,finished,0,0
TSU,AlphaTauri,+1 Lap,13.0,15,2022,3,Melbourne,finished,0,0
LAT,Williams,+1 Lap,18.0,16,2022,3,Melbourne,finished,0,0
ALO,Alpine,+1 Lap,10.0,17,2022,3,Melbourne,finished,0,0
VER,Red Bull Racing,Fuel leak,2.0,R,2022,3,Melbourne,other_dnf,1,0
VET,Aston Martin,Accident,17.0,R,2022,3,Melbourne,mechanical_dnf,1,0
SAI,Ferrari,Spun off,9.0,R,2022,3,Melbourne,other_dnf,1,0
VER,Red Bull Racing,Finished,1.0,1,2022,4,Imola,finished,0,0
PER,Red Bull Racing,Finished,3.0,2,2022,4,Imola,finished,0,0
NOR,McLaren,Finished,5.0,3,2022,4,Imola,finished,0,0
RUS,Mercedes,Finished,11.0,4,2022,4,Imola,finished,0,0
BOT,Alfa Romeo,Finished,7.0,5,2022,4,Imola,finished,0,0
LEC,Ferrari,Finished,2.0,6,2022,4,Imola,finished,0,0
TSU,AlphaTauri,Finished,12.0,7,2022,4,Imola,finished,0,0
VET,Aston Martin,Finished,13.0,8,2022,4,Imola,finished,0,0
MAG,Haas F1 Team,Finished,8.0,9,2022,4,Imola,finished,0,0
STR,Aston Martin,+1 Lap,15.0,10,2022,4,Imola,finished,0,0
ALB,Williams,+1 Lap,18.0,11,2022,4,Imola,finished,0,0
GAS,AlphaTauri,+1 Lap,17.0,12,2022,4,Imola,finished,0,0
HAM,Mercedes,+1 Lap,14.0,13,2022,4,Imola,finished,0,0
OCO,Alpine,+1 Lap,16.0,14,2022,4,Imola,finished,0,0
ZHO,Alfa Romeo,+1 Lap,0.0,15,2022,4,Imola,finished,0,0
LAT,Williams,+1 Lap,19.0,16,2022,4,Imola,finished,0,0
MSC,Haas F1 Team,+1 Lap,10.0,17,2022,4,Imola,finished,0,0
RIC,McLaren,+1 Lap,6.0,18,2022,4,Imola,finished,0,0
ALO,Alpine,Collision damage,9.0,R,2022,4,Imola,mechanical_dnf,1,0
SAI,Ferrari,Collision,4.0,R,2022,4,Imola,mechanical_dnf,1,0
VER,Red Bull Racing,Finished,3.0,1,2022,5,Miami,finished,0,0
LEC,Ferrari,Finished,1.0,2,2022,5,Miami,finished,0,0
SAI,Ferrari,Finished,2.0,3,2022,5,Miami,finished,0,0
PER,Red Bull Racing,Finished,4.0,4,2022,5,Miami,finished,0,0
RUS,Mercedes,Finished,12.0,5,2022,5,Miami,finished,0,0
HAM,Mercedes,Finished,6.0,6,2022,5,Miami,finished,0,0
BOT,Alfa Romeo,Finished,5.0,7,2022,5,Miami,finished,0,0
OCO,Alpine,Finished,20.0,8,2022,5,Miami,finished,0,0
ALB,Williams,Finished,18.0,9,2022,5,Miami,finished,0,0
STR,Aston Martin,Finished,0.0,10,2022,5,Miami,finished,0,0
ALO,Alpine,Finished,11.0,11,2022,5,Miami,finished,0,0
TSU,AlphaTauri,Finished,9.0,12,2022,5,Miami,finished,0,0
RIC,McLaren,Finished,14.0,13,2022,5,Miami,finished,0,0
LAT,Williams,Finished,19.0,14,2022,5,Miami,finished,0,0
MSC,Haas F1 Team,Finished,15.0,15,2022,5,Miami,finished,0,0
MAG,Haas F1 Team,Front wing,16.0,16,2022,5,Miami,other_dnf,1,0
VET,Aston Martin,Collision,0.0,17,2022,5,Miami,mechanical_dnf,1,0
GAS,AlphaTauri,Suspension,7.0,R,2022,5,Miami,mechanical_dnf,1,0
NOR,McLaren,Collision,8.0,R,2022,5,Miami,mechanical_dnf,1,0
ZHO,Alfa Romeo,Water leak,17.0,R,2022,5,Miami,engine_dnf,1,1
VER,Red Bull Racing,Finished,2.0,1,2022,6,Barcelona,finished,0,0
PER,Red Bull Racing,Finished,5.0,2,2022,6,Barcelona,finished,0,0
RUS,Mercedes,Finished,4.0,3,2022,6,Barcelona,finished,0,0
SAI,Ferrari,Finished,3.0,4,2022,6,Barcelona,finished,0,0
HAM,Mercedes,Finished,6.0,5,2022,6,Barcelona,finished,0,0
BOT,Alfa Romeo,Finished,7.0,6,2022,6,Barcelona,finished,0,0
OCO,Alpine,Finished,12.0,7,2022,6,Barcelona,finished,0,0
NOR,McLaren,Finished,11.0,8,2022,6,Barcelona,finished,0,0
ALO,Alpine,+1 Lap,20.0,9,2022,6,Barcelona,finished,0,0
TSU,AlphaTauri,+1 Lap,13.0,10,2022,6,Barcelona,finished,0,0
VET,Aston Martin,+1 Lap,16.0,11,2022,6,Barcelona,finished,0,0
RIC,McLaren,+1 Lap,9.0,12,2022,6,Barcelona,finished,0,0
GAS,AlphaTauri,+1 Lap,14.0,13,2022,6,Barcelona,finished,0,0
MSC,Haas F1 Team,+1 Lap,10.0,14,2022,6,Barcelona,finished,0,0
STR,Aston Martin,+1 Lap,17.0,15,2022,6,Barcelona,finished,0,0
LAT,Williams,+2 Laps,19.0,16,2022,6,Barcelona,finished,0,0
MAG,Haas F1 Team,+2 Laps,8.0,17,2022,6,Barcelona,finished,0,0
ALB,Williams,+2 Laps,18.0,18,2022,6,Barcelona,finished,0,0
ZHO,Alfa Romeo,Power loss,15.0,R,2022,6,Barcelona,other_dnf,1,0
LEC,Ferrari,Turbo,1.0,R,2022,6,Barcelona,engine_dnf,1,1
PER,Red Bull Racing,Finished,3.0,1,2022,7,Monaco,finished,0,0
SAI,Ferrari,Finished,2.0,2,2022,7,Monaco,finished,0,0
VER,Red Bull Racing,Finished,4.0,3,2022,7,Monaco,finished,0,0
LEC,Ferrari,Finished,1.0,4,2022,7,Monaco,finished,0,0
RUS,Mercedes,Finished,6.0,5,2022,7,Monaco,finished,0,0
NOR,McLaren,Finished,5.0,6,2022,7,Monaco,finished,0,0
ALO,Alpine,Finished,7.0,7,2022,7,Monaco,finished,0,0
HAM,Mercedes,Finished,8.0,8,2022,7,Monaco,finished,0,0
BOT,Alfa Romeo,Finished,12.0,9,2022,7,Monaco,finished,0,0
VET,Aston Martin,Finished,9.0,10,2022,7,Monaco,finished,0,0
GAS,AlphaTauri,Finished,17.0,11,2022,7,Monaco,finished,0,0
OCO,Alpine,Finished,10.0,12,2022,7,Monaco,finished,0,0
RIC,McLaren,Finished,14.0,13,2022,7,Monaco,finished,0,0
STR,Aston Martin,Finished,18.0,14,2022,7,Monaco,finished,0,0
LAT,Williams,+1 Lap,19.0,15,2022,7,Monaco,finished,0,0
ZHO,Alfa Romeo,+1 Lap,20.0,16,2022,7,Monaco,finished,0,0
TSU,AlphaTauri,+1 Lap,11.0,17,2022,7,Monaco,finished,0,0
ALB,Williams,Mechanical,16.0,R,2022,7,Monaco,mechanical_dnf,1,0
MSC,Haas F1 Team,Accident,15.0,R,2022,7,Monaco,mechanical_dnf,1,0
MAG,Haas F1 Team,Water pressure,13.0,R,2022,7,Monaco,other_dnf,1,0
VER,Red Bull Racing,Finished,3.0,1,2022,8,Baku,finished,0,0
PER,Red Bull Racing,Finished,2.0,2,2022,8,Baku,finished,0,0
RUS,Mercedes,Finished,5.0,3,2022,8,Baku,finished,0,0
HAM,Mercedes,Finished,7.0,4,2022,8,Baku,finished,0,0
GAS,AlphaTauri,Finished,6.0,5,2022,8,Baku,finished,0,0
VET,Aston Martin,Finished,9.0,6,2022,8,Baku,finished,0,0
ALO,Alpine,Finished,10.0,7,2022,8,Baku,finished,0,0
RIC,McLaren,Finished,12.0,8,2022,8,Baku,finished,0,0
NOR,McLaren,Finished,11.0,9,2022,8,Baku,finished,0,0
OCO,Alpine,Finished,13.0,10,2022,8,Baku,finished,0,0
BOT,Alfa Romeo,+1 Lap,15.0,11,2022,8,Baku,finished,0,0
ALB,Williams,+1 Lap,17.0,12,2022,8,Baku,finished,0,0
TSU,AlphaTauri,+1 Lap,8.0,13,2022,8,Baku,finished,0,0
MSC,Haas F1 Team,+1 Lap,20.0,14,2022,8,Baku,finished,0,0
LAT,Williams,+1 Lap,18.0,15,2022,8,Baku,finished,0,0
STR,Aston Martin,Vibrations,19.0,16,2022,8,Baku,other_dnf,1,0
MAG,Haas F1 Team,Power Unit,16.0,R,2022,8,Baku,engine_dnf,1,1
ZHO,Alfa Romeo,Hydraulics,14.0,R,2022,8,Baku,engine_dnf,1,1
LEC,Ferrari,Power Unit,1.0,R,2022,8,Baku,engine_dnf,1,1
SAI,Ferrari,Hydraulics,4.0,R,2022,8,Baku,engine_dnf,1,1
VER,Red Bull Racing,Finished,1.0,1,2022,9,Montréal,finished,0,0
SAI,Ferrari,Finished,3.0,2,2022,9,Montréal,finished,0,0
HAM,Mercedes,Finished,4.0,3,2022,9,Montréal,finished,0,0
RUS,Mercedes,Finished,8.0,4,2022,9,Montréal,finished,0,0
LEC,Ferrari,Finished,19.0,5,2022,9,Montréal,finished,0,0
OCO,Alpine,Finished,7.0,6,2022,9,Montréal,finished,0,0
BOT,Alfa Romeo,Finished,11.0,7,2022,9,Montréal,finished,0,0
ZHO,Alfa Romeo,Finished,10.0,8,2022,9,Montréal,finished,0,0
ALO,Alpine,Finished,2.0,9,2022,9,Montréal,finished,0,0
STR,Aston Martin,Finished,17.0,10,2022,9,Montréal,finished,0,0
RIC,McLaren,Finished,9.0,11,2022,9,Montréal,finished,0,0
VET,Aston Martin,Finished,16.0,12,2022,9,Montréal,finished,0,0
ALB,Williams,Finished,12.0,13,2022,9,Montréal,finished,0,0
GAS,AlphaTauri,Finished,15.0,14,2022,9,Montréal,finished,0,0
NOR,McLaren,Finished,14.0,15,2022,9,Montréal,finished,0,0
LAT,Williams,Finished,18.0,16,2022,9,Montréal,finished,0,0
MAG,Haas F1 Team,Finished,5.0,17,2022,9,Montréal,finished,0,0
TSU,AlphaTauri,Accident,20.0,R,2022,9,Montréal,mechanical_dnf,1,0
MSC,Haas F1 Team,Engine,6.0,R,2022,9,Montréal,engine_dnf,1,1
PER,Red Bull Racing,Gearbox,13.0,R,2022,9,Montréal,engine_dnf,1,1
SAI,Ferrari,Finished,1.0,1,2022,10,Silverstone,finished,0,0
PER,Red Bull Racing,Finished,4.0,2,2022,10,Silverstone,finished,0,0
HAM,Mercedes,Finished,5.0,3,2022,10,Silverstone,finished,0,0
LEC,Ferrari,Finished,3.0,4,2022,10,Silverstone,finished,0,0
ALO,Alpine,Finished,7.0,5,2022,10,Silverstone,finished,0,0
NOR,McLaren,Finished,6.0,6,2022,10,Silverstone,finished,0,0
VER,Red Bull Racing,Finished,2.0,7,2022,10,Silverstone,finished,0,0
